author,body,datalegacylang
judge148,People are drawn into gender cults for three main reasons: autism\‚ childhood trauma (often sexual abuse)\‚ or fetish/kink. The latter is exclusively men\‚ related to autogynephilia. #GenderIdeology #Autogynephilia https://t.co/VKbbRmHkfm,en
judge148,Gender Ideology: Is it Harmful? A Heated Debate  #GenderIdeology #Debate #Identity #Society #Discussion #CultureWar #Controversy #Beliefs #SocialIssues #CurrentEvents https://t.co/CCJY4s5Z5P,en
judge148,The transgender flag\'s colors—baby blue\‚ pink\‚ and white—are meant to evoke babyhood. Designed by Robert Hogg (now Monica Helms)\‚ this symbolism is detailed in his book\‚ \'More Than Just a Flag.\' Awareness is key. #GenderIdeology #Awareness https://t.co/o46iYXlwic,en
jamespyles,I know that #Hollywood needs a certain number of child actors &amp; I also know that more often than not\‚ the industry destroys #children. More &amp; more that includes bombarding them with #genderideology &amp; messages about being #trans &amp; #genderfluid https://t.co/wNk40nqXYd,en
judge148,The ideology doesn\'t like to be talked about. It\'s infiltrated institutions. Compromising the safety of women in sports\‚ taking prize money and scholarships away from girls. #GenderIdeology #WomensRights https://t.co/C7cFvEST5i,en
judge148,Concerns are rising as concerning trends slip under the radar\‚ like irreversible medical decisions for young girls and men competing in women\'s sports. Diverting the conversation to sexuality is a tactic to avoid addressing these critical issues. #WomensSports #GenderIdeology https://t.co/LLvig1nuNQ,en
Gilbro2010,Did you know that both “Genre” and “Gender” in English translate to “Genre” in French?    #GenderIdeology #IdéologieDuGenre,en
coachblade,SO TRUE!!  👉🏼 We’ve all be living through a “Frankenstein social experiment imposed on real women and girls.”    #GenderIdeology is a failed experiment.    PLEASE\‚ let’s move on!!,en
kimturner70,Why every women isn’t speaking out like this I don’t know. Which women are ok with this type of behaviour????   #sexmatters #genderideology #keepmenout,en
VicIsherwood,If this was 10\‚ 15\‚ 20 years ago I\'d have thought it was a sketch by The League of Gentlemen\‚ Chris Morris\‚ Julia Davis\‚ and played by #Sightseers\' Alice Lowe (watch to the end). #GenderIdeology,en
Diogenes3000,This illustrated the core of #TransActivism.  Trans is untethered from reality.  It is a delusion based on severe mental illness.  #GenderIdeology is the same as being a flat-earther.,en
PeymanAskari451,We the candidates see the illness\‚ whereas the voters see the symptoms     Watch Full Episode     https://t.co/hmJXkFhVh1    #genderideology #housingcrisis #inflation #immigration #invasion #HealthcareCrisis #hadenough #joinus #PPC #PeoplesParty #protectyourkids #ProtectYourFamilies https://t.co/KkSB4w9V10,en
judge148,Raising awareness about harmful gender ideology. Reaching millions online vs. a few in person. Speaking to detransitioners and affected parents. #GenderIdeology #Awareness #SocialMediaImpact #ParentalSupport https://t.co/4cxolBqzhI,en
anisem001,This shows the strength of the Loby in America    #Gender laws\‚ makes an educated Dr refuse to say the truth    Can a man get pregnant?  Yes or No    #GenderIdeology https://t.co/FIaVR2nv17,en
GrannyMary59,#GenderIdeology   Oh dear\‚ Ireland. https://t.co/eFaGsSwkuJ,en
LeftistsofMN,"""Hearing the words \""Chemical Castration\"" by @PressSec is both welcome and extremely shocking.    We\'re finally getting the TRUTH from the podium about Radical Gender Ideology.    #GenderIdeology""",en
