author,body,datalegacylang
ToddyLittman2,"""While @TuckerCarlson rages against Israel, and @RealCandaceO occupies minds with her answerless mourning of @charliekirk11 by attacking @MrsErikaKirk, Nigerian Christians face death praising Jesus, slaughtered for saying \""no\"" to Islam. #YouAreRightToBlameIslam #BanIslam #BanHalal""",en
LishaBrakefield,"Yes, I've been saying this.. #BanIslam",en
JohnnyBgood2025,#BanIslam bring back the Crusaders now!,en
cryttyr,#BanIslam. They're the bad dudes.,en
Threat2Dmocracy,"Islam is NOT A RELIGION! It's a barbaric, terrorist ideology and should be banned from the west. They have never been seen to assimilate into any culture but have always dominated and conquered them. Islam is to western culture what rabies is to a canine. #BanIslam",en
PapaToThem,Islam is the MS-13 of religions.  It's a cult of death and darkness.\n\n#banislam #bansharia #banHalal,en
halfmilerise,@ForgiatoBlow47 @DaveKnight1776 Not this people. I agree with him. #banislam,en
DoIt1745,"""@Jvnior Rumors spread by whom? By the vile filth followers of the sick satanic cult of the demon-possessed psychopath rapist pedophile mass murdering fake \""prophet\"" ?\n\n#BanIslam 🚫""",en
EmployeeMangler,"@realBrandonGill Islam and HUMANITY aren't compatible: it's a DEATH CULT. In every country around the world, people should try to #BanSharia and #BanIslam. The world will be a MUCH better place w/ it GONE.",en
odemevol13,WHY IS THIS TERRORIST GROUP STILL OPERATING IN AMERICA😠\n#BANSHARIA #BANISLAM\nin America. https://t.co/8ayCNKgx7O,en
RacingGreen1976,@ValentinaForUSA @NufcEngland1966 @ShabanaMahmood @Keir_Starmer We will continue to do so \nBecause it seems our life really does depend on it \n\n#BanIslam\n#StopTheDeathCult,en
RockerKiss3,This Evil cannot take root. #BanIslam #Freedom #Patriotsunite https://t.co/bRPwcomx5Q,en
DoIt1745,@AmyMek They must ALL GTFO. Denaturalize &amp; deport every single one. Incompatible. \n\nFeedom of religion does NOT apply to the cult of islam.\n\nIt's an anti-religion.\n\nIt's a terrorist ideology founded by a mass murdering rapist pedophile psychopath. \n\n#banislam 🚫\n#flushthefilth 🚽🪠,en
ProudXAmerican,BAN ISLAM IN AMERICA AGAIN!\n\nISLAM IS A DEATH CULT. \n\nIT IS *NOT* A RELIGION!\n\n#BanIslam,en
MoPatriota,@WHLeavitt @JohnSok43758884 Imagine the outrage Christian’s or Jews this 5 times a day what “mampinga” aka @NYCMayor is doing is opening the floodgates for this to spread their ideology is either convert or kill you islam is incompatible with western society &amp; especially AMERICA \n#islamisevil #banislam https://t.co/lywxjbKHPq,en
cryttyr,Bloodthirsty maniacs. Believe them when they tell you. #BanIslam,en
cryttyr,@CptAllenHistory Two years after the New Year's Eve Mass Rapes. #BanIslam,en
cryttyr,"@NiohBerg @RussellandOzzie Wherever Muslim men go, rape and murder follow. The facts are undeniable. It's beyond time to #BanIslam",en
harleyfor45,"Muslim women are ignorant to think they have to live their lives like this! It’s beat into them as children that this is the way it has to be, but it does NOT have to be this way! Women should be respected, not tortured! THERE IS NO EXCUSE FOR ANY MAN TO BEAT A WOMAN!! \n#BanIslam",en
reid4904,@RepJeffries You ALLOW THIS FUCKHEAD WITH LETTING #RACISTISLAM IN !!\nWE MUST #BANISLAM OR FIGHT THEM!\nETHIER WAY YOU @CONGRESS FAILS TO LEAD!\nORGANIZE AMERICA AND ARM YOURSELVES!\nA DEAD MUSLIM A BURNED MOSQUE  IS A WIN !!,en
MeganSmiles,This is not a surprise. We warned NY.\n\nNow we must #BanIslam,en
Divaneh666,@Keir_Starmer Shut up. This is the result of your policies to appease Islamists and prosecute patriots.\n\nIslam is not a religion. Ban it. Close the mosques.\n#IslamSpreadsViolence\n#banIslam,en
cryttyr,Believe them when they go crazy with knives. #BanIslam,en
BertfromEng,"We all know it was one of the diversity specials, @SkyNews. Its obvious as soon as you don't allow replies 🙄 #banislam",en
IamJustJulie,The Islamìc Arsonists are busy. This is Jihad! They plan to build their mosques over the churches they burn! Islamic domination. #IslamIsEvil #BanIslam,en
cryttyr,"What my moronic western brothers and sisters need to realise that it's bad guy versus bad guy over there. Western Civilisation has the highest standards, you need to understand that West Is The Best. You're not a monster, you're on the best team. Stop believing. #BanIslam",en
cryttyr,Believe them when they tell you. #BanIslam #Collapse #CollapseIE,en
Divaneh666,@EdwardRayne @Keir_Starmer Says the man who looks like devil.\nWhy don’t you terrorists just fuck off to Gaza?\n#banIslam\n#IraniansStandWithIsrael,en
consumer_common,Sharia Law is around the corner. \nStop it. Stop it in Great Britain. No to Sharia Law in the West. \n\n#BanIslam,en
FullMtlPatriot,This is what Muslims do when they’re in charge. They are absolutely incompatible with civilized countries.\n#BanIslam #DeportThemALL,en
FullMtlPatriot,It’s a twisted death cult that we need to keep out of America at all costs. #BanIslam,en
FullMtlPatriot,"This is Islam. ☪️ \n\nIf we let them stay in our country, this is what they will do to ALL the women. #BanIslam",en
