author,body
TripLangley,RT @JesseSkye712: I choose to be straight for today.  Thank you and good night.  #NoGayPride #Classless #GenderConfusion #PublicIndecency
TaylourrTrostle,Nothing like getting sick over watching the lesbian couple/roommates who live on you floor kiss #younglove #nogaypride
Vepk92083,I can't believe I'm almost in Atlanta #NoGayPride... I'm a lil upset this some bullshit...
17014Daniel,My biology teacher is a gay hater! #nogaypride
miliziachristi,#NOgaypride anche a #Lucca!\n#LaRetedeiPatrioti\n\nhttps://t.co/pDrNU2qojR
Larry_king68,@_Alan_king_ no you're wrong it is boyfriends you have #nogaypride
Seth_Holman16,#ToMyUnbornChild if your not straight I will put you up for adoption hahahaha #nogaypride
coreyspade,#instacollage this is why I hate ignorant gay men #nogaypride #selfpride #youreadick #wearewhoweare… https://t.co/Y0h0yfpPrZ
k23belk,@_hotboy293 home girl fine and all but but she worth catching a case blud ? #NoGayPride
_MattyFresh,@kellyrfox don't be queer come here! #NoGayPride
Dee_Wrreck,@welll_daMnn I told you scary movie 1 status ahhahaha #nogaypride
sam_tracey,"@hamstra16 Haha this is not a charity case, strictly business #nogaypride"
MsLee_Ncube,"""Lol, u'r a clown \""@kaygii: Lmao exposement RT @MsLee_Ncube The things dis monkey says tho \""ke sure daai man o montle ne #nohomo #nogaypride\"""""
2nd2none_1nOnly,"Never ever, never ever, never ever will I get on that level! #nogaypride over here but big ups to the ones who are! #nothating"
sixxHM1k,@jrcamachobass Well fucking done! keep your sexual tastes and preferences to yourself in private and in absolute silence. No one needs to know what you like or not #nogaypride
lizzrod,I told my mom that this certain guy turned out gay.. Apparently she is so anti-gay. #nogaypride If only she knew I have hella gay friends...
MissCutiepie4va,Girls like BOYS!!!! And boys like girls #NoGayPride
chadknight75,@POTUS This is bullshit!!! Stop shoving this gay pride shit down our throats!!! You  @HouseDemocrats are ruining this country!! #nogaypride @GOP @benshapiro @RealCandaceO @charliekirk11
chadknight75,@NotreDame Shame on you for selling gay pride mugs!! Stay out of this controversy subject!! We don't need to celebrate people being gay!!! Where are the straight mugs? #straightlife #nogaypride
69gaybuttsex69,@meowkiplier i dislike gay ppl actually. #NoGayPride
OtfMoe,I’m not one 2 rant but this gay pride thing is wayyyy too in people’s faces and I’m sick of it there are kids getting exposed to this fucked up shit asking questions these fucked up non breeders talkingabout be who u r but what about hiv #nogaypride
chaszzsmith1951,#NoGayPride :  Democratic donor Ed Buck sued by family after overdose death: report\n\nhttps://t.co/BgcZaSTGa0
Gagreeneyes65,"#1Co 6:9\nOr do you not know that the unrighteous[fn] will not inherit the kingdom of God? Do not be deceived: neither the sexually immoral, nor idolaters, nor adulterers, nor men who practice homosexuality  #NOGayPride"
jasonleong,@saladinMY Try attacking one of them on Twitter and u will see how they really respond to you. #NoGayPride #NoLGBT
